"term","coordinate","posterior_mean","posterior_sd","lower_95","upper_95","probability_positive"
"intercept","prep_carbon_vs_prep_noncarbon",-0.717027204607652,0.210382523348088,-1.11682653890212,-0.314726257622109,0
"intercept","competition_carbon_vs_prep_noncarbon",-0.474804481663616,0.186029642092601,-0.843814191091492,-0.115096764311156,0.005
"intercept","competition_noncarbon_vs_prep_noncarbon",-0.654934920268254,0.115208444615128,-0.872401519684813,-0.441764851398073,0
"discipline_1","prep_carbon_vs_prep_noncarbon",0.264746881738925,0.21007883265895,-0.138026281374436,0.703611349918757,0.91
"discipline_1","competition_carbon_vs_prep_noncarbon",0.27598038595935,0.190306946389435,-0.0977459067197034,0.669240705899581,0.925
"discipline_1","competition_noncarbon_vs_prep_noncarbon",-0.105699887882262,0.117285656923364,-0.335965997826374,0.131722247428899,0.18
"discipline_2","prep_carbon_vs_prep_noncarbon",-0.145315582133538,0.23675392664661,-0.613200640230391,0.339270410154096,0.264
"discipline_2","competition_carbon_vs_prep_noncarbon",-0.357418319270349,0.219889208911732,-0.776021532693833,0.0751720891280195,0.055
"discipline_2","competition_noncarbon_vs_prep_noncarbon",0.486217008380116,0.128509733411641,0.230442443571117,0.722031858580569,0.999
"discipline_3","prep_carbon_vs_prep_noncarbon",-0.431080166556065,0.269695716775027,-0.95451897748999,0.0848666773258685,0.061
"discipline_3","competition_carbon_vs_prep_noncarbon",-0.629744545448785,0.244752288236818,-1.11099644199708,-0.167874112885812,0.004
"discipline_3","competition_noncarbon_vs_prep_noncarbon",0.382302536330655,0.145546463455748,0.0892985760961179,0.676301011704138,0.994
"discipline_4","prep_carbon_vs_prep_noncarbon",-0.114648925982525,0.223437319692196,-0.550731504922274,0.313608181201782,0.299
"discipline_4","competition_carbon_vs_prep_noncarbon",0.0676647010216954,0.197272357001476,-0.325007070045791,0.448311401017387,0.635
"discipline_4","competition_noncarbon_vs_prep_noncarbon",0.215147117346507,0.119624588065284,-0.0114273026453674,0.441200114008783,0.96
"discipline_5","prep_carbon_vs_prep_noncarbon",-0.157671002273476,0.283535259241229,-0.724540790087829,0.38303628607732,0.309
"discipline_5","competition_carbon_vs_prep_noncarbon",-0.230551270012447,0.252822590018179,-0.749146284426936,0.243781295431049,0.183
"discipline_5","competition_noncarbon_vs_prep_noncarbon",-0.0313381509529508,0.153150850981661,-0.332384900124747,0.288047045407782,0.418
"discipline_6","prep_carbon_vs_prep_noncarbon",-0.453623206946705,0.410070750272916,-1.2836537782545,0.407336559912638,0.125
"discipline_6","competition_carbon_vs_prep_noncarbon",-0.508085528585622,0.360872041674346,-1.24398789134809,0.187724199172825,0.077
"discipline_6","competition_noncarbon_vs_prep_noncarbon",-0.0222027776042656,0.230718689008395,-0.481113910891031,0.424049331017104,0.452
"discipline_7","prep_carbon_vs_prep_noncarbon",0.181801759929846,0.276717550671792,-0.361458376555143,0.715466235767203,0.726
"discipline_7","competition_carbon_vs_prep_noncarbon",0.200551529263034,0.248700800091487,-0.26072548264853,0.665661283239523,0.781
"discipline_7","competition_noncarbon_vs_prep_noncarbon",0.294401632558563,0.153250868154375,0.00367853961275485,0.596263802472281,0.976
"discipline_8","prep_carbon_vs_prep_noncarbon",-0.0191740274439965,3.14463243986911,-5.92573161361524,5.99969415560239,0.487
"discipline_8","competition_carbon_vs_prep_noncarbon",0.0179191365512006,2.88968619751266,-5.57125683295133,5.61458938156588,0.499
"discipline_8","competition_noncarbon_vs_prep_noncarbon",-0.112745005138113,1.65438159050458,-3.3289238824779,2.94595012500986,0.478
"discipline_9","prep_carbon_vs_prep_noncarbon",-0.129959909184982,3.13367098236831,-6.43187202581934,6.27647553812082,0.477
"discipline_9","competition_carbon_vs_prep_noncarbon",-0.0852775979900374,2.77073132832667,-5.86402623432618,5.57165754493937,0.503
"discipline_9","competition_noncarbon_vs_prep_noncarbon",0.007626719643696,1.67103067657277,-3.3946944814293,3.24909259018333,0.505
"discipline_10","prep_carbon_vs_prep_noncarbon",-0.00936725938676912,3.05082786982998,-6.23435888803132,5.60569399309886,0.506
"discipline_10","competition_carbon_vs_prep_noncarbon",-0.0068984653307966,2.71092019362868,-5.68625077651859,5.30999369171615,0.495
"discipline_10","competition_noncarbon_vs_prep_noncarbon",0.0797778581142415,1.66524506175065,-3.15775275184746,3.3313248421949,0.539
"discipline_11","prep_carbon_vs_prep_noncarbon",0.0811788270724907,3.12275770322118,-5.91808862512309,6.20469446260344,0.513
"discipline_11","competition_carbon_vs_prep_noncarbon",0.0544170548353143,2.8188516252485,-5.45472953355798,5.56353237666899,0.511
"discipline_11","competition_noncarbon_vs_prep_noncarbon",-0.00362905171800683,1.68036404941035,-3.42478554108711,3.2854702612471,0.508
