"reference","model","elpd_loo","lcpo"
"prep_carbon","type_I_intercept",-646.572848223924,2.69405353426635
"prep_carbon","type_II_demographics",-650.390475022312,2.70996031259297
"prep_carbon","type_III_anthropometrics",-642.019286274741,2.67508035947809
"prep_carbon","type_IV_experience_history",-654.602483049435,2.72751034603931
"prep_carbon","type_V_discipline_profile",-626.855171942159,2.611896549759
"prep_carbon","type_VI_full_main",-629.30824247031,2.62211767695962
"prep_carbon","type_VII_nonlinear",-634.065931525729,2.6419413813572
"prep_carbon","type_VIII_interactions",-628.375657067398,2.61823190444749
"prep_noncarbon","type_I_intercept",-646.641716462487,2.69434048526036
"prep_noncarbon","type_II_demographics",-650.466125527652,2.71027552303188
"prep_noncarbon","type_III_anthropometrics",-642.096214820577,2.67540089508574
"prep_noncarbon","type_IV_experience_history",-654.678498256601,2.72782707606917
"prep_noncarbon","type_V_discipline_profile",-626.945671586949,2.61227363161229
"prep_noncarbon","type_VI_full_main",-629.411501643682,2.62254792351534
"prep_noncarbon","type_VII_nonlinear",-634.187835908598,2.64244931628583
"prep_noncarbon","type_VIII_interactions",-628.482424138515,2.61867676724381
"competition_carbon","type_I_intercept",-646.583485806763,2.69409785752818
"competition_carbon","type_II_demographics",-650.403836389092,2.71001598495455
"competition_carbon","type_III_anthropometrics",-642.049785704619,2.67520744043591
"competition_carbon","type_IV_experience_history",-654.619873504254,2.72758280626772
"competition_carbon","type_V_discipline_profile",-626.896285025314,2.61206785427214
"competition_carbon","type_VI_full_main",-629.394909313916,2.62247878880798
"competition_carbon","type_VII_nonlinear",-634.156834377229,2.64232014323845
"competition_carbon","type_VIII_interactions",-628.475739966497,2.61864891652707
"competition_noncarbon","type_I_intercept",-646.607838461257,2.69419932692191
"competition_noncarbon","type_II_demographics",-650.423547102526,2.71009811292719
"competition_noncarbon","type_III_anthropometrics",-642.050578744588,2.67521074476912
"competition_noncarbon","type_IV_experience_history",-654.629633991561,2.72762347496484
"competition_noncarbon","type_V_discipline_profile",-626.906749565007,2.61211145652086
"competition_noncarbon","type_VI_full_main",-629.352749074212,2.62230312114255
"competition_noncarbon","type_VII_nonlinear",-634.116960846615,2.64215400352756
"competition_noncarbon","type_VIII_interactions",-628.420751913123,2.61841979963801
