"group","term","period","mean","median","sd","lower_95","upper_95","probability_positive","probability_gt_5pp","probability_rope_2pp"
"intercept","intercept","preparation",-1.87103279202508,-1.87785951163363,0.360494082360075,-2.55897273034871,-1.1466986766746,0,0,0
"exposure","any_carbon_at_center_share","preparation",0.253817456190641,0.256818452589669,0.314122913169456,-0.358852255817634,0.8649149057158,0.79125,0.74275,0.0385
"exposure","share_basis_1","preparation",0.13829964636998,0.121430273293544,0.446265688773737,-0.725260650552997,1.02964307657046,0.617,0.5665,0.03675
"exposure","share_basis_2","preparation",0.749452771041357,0.745858405133592,0.634422543309625,-0.505366760496635,2.01155854882877,0.88275,0.8655,0.01175
"exposure","share_basis_3","preparation",-0.218822589688149,-0.221056272960057,0.462446243348243,-1.13477811707391,0.681176287444861,0.325,0.28725,0.03175
"intercept","intercept","competition",-1.55170532813965,-1.54934741570797,0.385189328432696,-2.31125294087419,-0.79761512255152,0,0,0
"exposure","any_carbon_at_center_share","competition",0.243238802765057,0.234972663066949,0.337313097988728,-0.424461656640818,0.915277762382633,0.77075,0.72075,0.0335
"exposure","share_basis_1","competition",0.850271268528812,0.853677105039059,0.427480225986454,0.0267968916602258,1.68237022996698,0.97825,0.9695,0.00375
"exposure","share_basis_2","competition",-0.179215504697453,-0.168759084354869,0.633087371209458,-1.44718299852418,1.05441891783062,0.38525,0.35575,0.027
"exposure","share_basis_3","competition",0.52439469203138,0.52527727905023,0.346410197659408,-0.145399604331618,1.20649711209816,0.93425,0.9145,0.01475
"covariate","age_z","common",0.0705744112237228,0.0709992524356252,0.115824654384626,-0.154967684421783,0.29682814547385,0.72775,0.5725,0.1145
"covariate","sex_female","common",-0.385437335485416,-0.384039157703153,0.241935591676712,-0.863386128098528,0.0965104811615289,0.0505,0.03225,0.01825
"covariate","height_z","common",-0.0162445047114226,-0.0170168276281475,0.153259055895315,-0.308529056840501,0.289679726999076,0.452,0.32975,0.107
"covariate","weight_z","common",-0.10064896339944,-0.0996791076630221,0.158117400260219,-0.41727737616269,0.20241772499022,0.259,0.164,0.0875
"covariate","experience_z","common",0.153438113345438,0.151729886876608,0.110880123058558,-0.0606760202426031,0.371661503779036,0.9225,0.8285,0.0535
"covariate","prior_injury","common",1.45656820302568,1.45485560648971,0.223150597599875,1.01671452930523,1.91272198011407,1,1,0
"covariate","fondo_lungo_total_z","common",-0.247124949909194,-0.249282966964869,0.142920915753119,-0.521249518065642,0.0282111542367702,0.041,0.0185,0.028
"covariate","fondo_medio_total_z","common",0.157432795036363,0.157552260282325,0.136972793050491,-0.110456749129972,0.428252441226344,0.87875,0.7825,0.06125
"covariate","lattacido_total_z","common",-0.128137367470353,-0.125283794699368,0.125215622898333,-0.374950324248364,0.11727784866649,0.15,0.0745,0.0765
"covariate","max_velocity_total_z","common",0.195815467563194,0.193134524700646,0.117712142690851,-0.0336324257158296,0.428925327757478,0.95125,0.8935,0.03375
"covariate","tecnica_total_z","common",-0.0233611903487508,-0.0252386550627254,0.112229014873501,-0.242099528232234,0.196749225917084,0.417,0.24975,0.13175
"covariate","palestra_z","common",-0.195434655511555,-0.195220120080488,0.104738878616135,-0.402143509044492,0.0106248817807547,0.03175,0.00775,0.028
"discipline","discipline_1","common",0.0734381988953947,0.0587331280717775,0.169520644008062,-0.246484699835663,0.441664988869253,0.66375,0.5245,0.13
"discipline","discipline_2","common",-0.0648749420604929,-0.0399002509186754,0.187232799877029,-0.476880318072777,0.290124962378273,0.37325,0.23775,0.14225
"discipline","discipline_3","common",0.0180090168123436,0.00860418652609464,0.201082095339415,-0.396028489120218,0.429601558690713,0.53225,0.40225,0.13025
"discipline","discipline_4","common",-0.224763506180465,-0.208300867725538,0.200721278291715,-0.666924029596781,0.0865940145326042,0.11675,0.05075,0.08425
"discipline","discipline_5","common",0.209540709902821,0.182315186120434,0.224879843825666,-0.153865048804183,0.701070651404754,0.8295,0.7265,0.09725
"discipline","discipline_6","common",-0.325990424153853,-0.258604672335731,0.326731225427693,-1.10602796854413,0.102937719002957,0.12825,0.061,0.0845
"discipline","discipline_7","common",0.0687926619005654,0.049015041098115,0.195866680548084,-0.307410256964722,0.493999033833446,0.6325,0.498,0.1215
"scale","sigma_athlete","common",0.402142209581973,0.384260232217712,0.23946293462372,0.0260134604804164,0.894981401313075,1,0.94975,0.019
"scale","tau_discipline","common",0.281498173558495,0.262985940138515,0.16650564499963,0.0174103300919843,0.66105956448915,1,0.93575,0.02775
