"group","term","period","mean","median","sd","lower_95","upper_95","probability_positive","probability_gt_5pp","probability_rope_2pp"
"intercept","intercept","preparation",-1.73282185856112,-1.73049730008901,0.272760311158799,-2.2683498028244,-1.21100117350012,0,0,0
"intercept","intercept","competition",-1.35176117843236,-1.34654952037591,0.270348226399893,-1.88456110630038,-0.836571446717467,0,0,0
"covariate","age_z","common",0.0857754859430009,0.0847894833937274,0.111026272265542,-0.135534069380216,0.307084555633799,0.779,0.62,0.10725
"covariate","sex_female","common",-0.324028760250155,-0.318557184318789,0.236172277435696,-0.784734362164033,0.123028700858298,0.08125,0.0515,0.02575
"covariate","height_z","common",-0.00975141608353186,-0.0108303875567714,0.158335846607699,-0.326259566852347,0.310405695873108,0.47175,0.353,0.09925
"covariate","weight_z","common",-0.0734445693711261,-0.0730213586972866,0.159551588439076,-0.391128834853466,0.240104079562799,0.31875,0.222,0.09
"covariate","experience_z","common",0.130653770525214,0.131979414808124,0.104688298272796,-0.0761157154564852,0.334957358487618,0.897,0.78125,0.07
"covariate","prior_injury","common",1.43125913762486,1.42921343176554,0.226376720188908,1.00550129216123,1.88995645862664,1,1,0
"covariate","fondo_lungo_total_z","common",-0.288574633776198,-0.290483925547701,0.137340115778454,-0.558516143399242,-0.0238610470466518,0.01525,0.006,0.01275
"covariate","fondo_medio_total_z","common",0.150908145341893,0.150769211324836,0.135751192313453,-0.123020821307677,0.417148777537016,0.86875,0.781,0.05925
"covariate","lattacido_total_z","common",-0.102949811140519,-0.102589675805907,0.124720396955345,-0.34834081502261,0.146181267816124,0.194,0.10975,0.0825
"covariate","max_velocity_total_z","common",0.179199387541142,0.178552562691438,0.119405825327986,-0.0518956763269329,0.415971321903411,0.936,0.85875,0.04075
"covariate","tecnica_total_z","common",-0.0131454205677114,-0.013374961885649,0.110939445033482,-0.230794477246969,0.204385672034806,0.4585,0.28175,0.138
"covariate","palestra_z","common",-0.192406498821084,-0.191464319344557,0.104616367277782,-0.391855889804479,0.00799983472756834,0.031,0.0105,0.03
"discipline","discipline_1","common",0.103115839240573,0.0844788193631405,0.168572014605121,-0.199064421309754,0.457474320626044,0.73075,0.5865,0.1105
"discipline","discipline_2","common",-0.0798577154556974,-0.0557826038164514,0.197212982416863,-0.51774414730408,0.271560514201,0.3595,0.2375,0.1155
"discipline","discipline_3","common",-0.00601537497786132,-0.00216416505968809,0.206603229594924,-0.442320708597191,0.418181020698037,0.49225,0.3575,0.11325
"discipline","discipline_4","common",-0.209684927409679,-0.19176992574489,0.191709249207075,-0.619663463542949,0.110850673757692,0.1245,0.0565,0.077
"discipline","discipline_5","common",0.218742939322226,0.19102271204179,0.223877410364292,-0.141287275220225,0.706623066015628,0.851,0.74125,0.083
"discipline","discipline_6","common",-0.358676306202727,-0.30132239218112,0.329690926644383,-1.1339135433244,0.0938621261552554,0.1095,0.04875,0.06525
"discipline","discipline_7","common",0.0910535853041028,0.0758372757371225,0.199944890998995,-0.283826264362054,0.512787056912659,0.674,0.5475,0.10625
"scale","sigma_athlete","common",0.423600303027079,0.411112065529762,0.245534623018245,0.0252701912437744,0.909094800184043,1,0.9485,0.021
"scale","tau_discipline","common",0.298720404371611,0.27371671065026,0.175470669248052,0.0343232242881655,0.706374925974047,1,0.955,0.0135
