"period","estimand","measure","share_from","share_to","mean","median","sd","lower_95","upper_95","probability_above_null","probability_above_threshold","probability_in_rope"
"preparation","prevalence_nonuser","prevalence",NA,0,0.299926672636205,0.29670875537679,0.0483579793748793,0.20942836423414,0.400089018791764,NA,NA,NA
"preparation","prevalence_median_user","prevalence",NA,0.421052631578947,0.334778528951879,0.334278670061708,0.026486037061124,0.281716039768101,0.38694151350018,NA,NA,NA
"preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.327505879686865,0.327222178887735,0.0305747349939262,0.267081798975128,0.387287762299855,NA,NA,NA
"preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.343194997135087,0.343284083430851,0.0288198370544821,0.285711330341455,0.400037791234834,NA,NA,NA
"preparation","adoption_difference","prevalence_difference",0,0.421052631578947,0.0348518563156739,0.0362630659108996,0.0534603997835406,-0.0733377680274459,0.134727412823091,0.74675,0.396,0.22075
"preparation","adoption_ratio","prevalence_ratio",0,0.421052631578947,1.14527213973483,1.12308444218963,0.206629703032267,0.806660883568972,1.61480531070552,0.74675,0.54925,0.17875
"preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,0.0156891174482224,0.0156997547789622,0.0273330225685617,-0.0367030820417291,0.0689969409432602,0.71275,0.11,0.469
"preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,1.05238576337468,1.04825604376127,0.0873640516446113,0.897711025964696,1.2346422333085,0.71275,0.2785,0.395
"competition","prevalence_nonuser","prevalence",NA,0,0.378895752258921,0.377430279213377,0.0603087938517809,0.265686239180731,0.501045148778215,NA,NA,NA
"competition","prevalence_median_user","prevalence",NA,0.5,0.42302225733055,0.423538536001566,0.0273252340277102,0.370595794364142,0.475222175800137,NA,NA,NA
"competition","prevalence_low_user","prevalence",NA,0.360227272727273,0.399542742078517,0.40001255915113,0.0320132073804898,0.337747035098992,0.461243583361069,NA,NA,NA
"competition","prevalence_high_user","prevalence",NA,0.714285714285714,0.459666794293482,0.459546670328478,0.0309594340007749,0.399956194262683,0.521138927907245,NA,NA,NA
"competition","adoption_difference","prevalence_difference",0,0.5,0.0441265050716298,0.0454436372721546,0.0647502114350904,-0.084031964724034,0.165830850111398,0.7545,0.476,0.192
"competition","adoption_ratio","prevalence_ratio",0,0.5,1.14569992348694,1.11887241709015,0.202725801544319,0.827403515020802,1.59960111406926,0.7545,0.54225,0.19625
"competition","dose_difference","prevalence_difference",0.360227272727273,0.714285714285714,0.0601240522149651,0.0592973634851726,0.0330051183940511,-0.00305162134375293,0.125593424578157,0.9685,0.608,0.103
"competition","dose_ratio","prevalence_ratio",0.360227272727273,0.714285714285714,1.15515231051942,1.14830204596074,0.0912673496051069,0.992862453480127,1.34415309451016,0.9685,0.715,0.1095
