"group","term","period","mean","median","sd","lower_95","upper_95","probability_positive","probability_gt_5pp","probability_rope_2pp"
"intercept","intercept","preparation",-2.1077018315344,-2.10845940822747,0.395947920036144,-2.89610766480568,-1.34159255085185,0,0,0
"exposure","any_carbon_at_center_share","preparation",0.345917477863114,0.348631182485047,0.337042869527496,-0.308362404348448,1.02021885204503,0.84375,0.8075,0.02675
"exposure","share_basis_1","preparation",0.320007654142384,0.324005805685583,0.550784856040741,-0.766596004648454,1.43851204996012,0.7185,0.688,0.02075
"exposure","share_basis_2","preparation",1.65381143431764,1.65100533476937,0.965249434237876,-0.231560709530563,3.52646566705861,0.95475,0.94925,0.006
"exposure","share_basis_3","preparation",-0.146073789155763,-0.131340821798119,0.593529638592425,-1.34749302794782,0.993626421659904,0.4095,0.37525,0.03025
"intercept","intercept","competition",-1.8106667902085,-1.80729790242334,0.423324590975537,-2.65182939100644,-0.986682306864666,0,0,0
"exposure","any_carbon_at_center_share","competition",0.323489222009755,0.317071421563789,0.361067043059785,-0.4031615400907,1.03566794246657,0.81775,0.77675,0.02875
"exposure","share_basis_1","competition",1.19723872293024,1.1991758013011,0.518982468666221,0.181202204712702,2.19824390821567,0.989,0.985,0.0025
"exposure","share_basis_2","competition",-0.160153520262095,-0.148537118144342,1.02555786446022,-2.16765052762728,1.81518758460051,0.4415,0.42325,0.018
"exposure","share_basis_3","competition",0.708951055492612,0.713260726796544,0.420704945659967,-0.144041571934894,1.53336561315001,0.9505,0.93825,0.01
"covariate","age_z","common",0.0439272752296747,0.0435073478922216,0.122044908249907,-0.202491829583457,0.281979916571558,0.639,0.4805,0.1325
"covariate","sex_female","common",-0.522520949313945,-0.518591668723984,0.278629020432217,-1.06379058945067,0.00701965796815596,0.02625,0.01725,0.00825
"covariate","height_z","common",-0.037201429908105,-0.0340914019116498,0.176797130552186,-0.399130383476409,0.295705558677844,0.42375,0.318,0.08625
"covariate","weight_z","common",-0.152811303495427,-0.155670471414271,0.178050794320072,-0.500983005974111,0.200976903256178,0.19025,0.127,0.058
"covariate","experience_z","common",0.18362765437348,0.182002074352167,0.117341497213072,-0.0417409853606389,0.417342180137081,0.942,0.8735,0.041
"covariate","prior_injury","common",1.78039689742243,1.77436710932248,0.260347483325054,1.28574960213573,2.32118655429575,1,1,0
"covariate","fondo_lungo_total_z","common",-0.264116414286495,-0.262786663389528,0.154716298850684,-0.561955245006928,0.0382388401928888,0.04575,0.0225,0.0205
"covariate","fondo_medio_total_z","common",0.193352947128351,0.192694567647679,0.146397035244104,-0.097498593459294,0.475754405064557,0.9065,0.83875,0.045
"covariate","lattacido_total_z","common",-0.138101731948062,-0.138816985134699,0.135054649637075,-0.401859381441636,0.126944930781151,0.157,0.08125,0.066
"covariate","max_velocity_total_z","common",0.22084990120816,0.219023529370741,0.125294759057504,-0.0233322256285863,0.46970279060637,0.965,0.9225,0.0255
"covariate","tecnica_total_z","common",-0.0214057192234393,-0.0217380146486537,0.112640613847274,-0.243471959333028,0.196900708085084,0.425,0.2615,0.13425
"covariate","palestra_z","common",-0.209469629773608,-0.20761650401869,0.111296777645573,-0.425822859201826,0.00847419055321436,0.029,0.0095,0.02
"discipline","discipline_1","common",0.0523589460208459,0.0372196055510247,0.172661462050642,-0.290718924253494,0.410286507891236,0.6125,0.468,0.14075
"discipline","discipline_2","common",-0.0789725115315174,-0.0529862097199315,0.195146957577911,-0.513505166560917,0.27388282785234,0.3465,0.234,0.11975
"discipline","discipline_3","common",0.029737442582351,0.0181052360833747,0.2110144034488,-0.394401273033912,0.476825479529296,0.55375,0.42425,0.12025
"discipline","discipline_4","common",-0.24117383597978,-0.219810751157879,0.207567137528039,-0.692509354958333,0.0849950821346281,0.1075,0.0435,0.07425
"discipline","discipline_5","common",0.207610802111995,0.178601440869768,0.223873687189369,-0.149740692930801,0.694305365880019,0.827,0.7205,0.092
"discipline","discipline_6","common",-0.340734711547621,-0.269943796078738,0.343901839142194,-1.15967767359145,0.118756076765834,0.13125,0.06475,0.075
"discipline","discipline_7","common",0.0672333358912181,0.0451319976662844,0.204459699435875,-0.334242040688505,0.496222120553097,0.62975,0.4895,0.128
"scale","sigma_athlete","common",0.458834061286522,0.449245086073392,0.255124619066792,0.0323374074067539,0.962047010593287,1,0.9615,0.0155
"scale","tau_discipline","common",0.291075784755094,0.270014922834645,0.173008535776912,0.0196542628693024,0.687140608585872,1,0.9425,0.0255
