"group","group_type","period","estimand","measure","share_from","share_to","mean","median","sd","lower_95","upper_95","probability_above_null","probability_above_threshold","probability_in_rope"
"Overall","overall","preparation","prevalence_nonuser","prevalence",NA,0,0.297027918484255,0.295292672884669,0.0476223033500968,0.206620459376526,0.393366925559565,NA,NA,NA
"Overall","overall","preparation","prevalence_median_user","prevalence",NA,0.428571428571429,0.340251245401873,0.339808632919867,0.0303989577962895,0.282610972011797,0.400133097525284,NA,NA,NA
"Overall","overall","preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.331132785931212,0.330394250035826,0.0364505884500221,0.262443720095257,0.404031416687352,NA,NA,NA
"Overall","overall","preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.328001662445706,0.327248649629405,0.0381530752408051,0.255483557971851,0.404298095173341,NA,NA,NA
"Overall","overall","preparation","adoption_difference","prevalence_difference",0,0.428571428571429,0.0432233269176184,0.0439437255510443,0.0546705095803778,-0.0654830426389535,0.146830823363728,0.783,0.4525,0.20675
"Overall","overall","preparation","adoption_ratio","prevalence_ratio",0,0.428571428571429,1.17539937234076,1.15023029602517,0.219138499217123,0.822688776041681,1.65767475080603,0.783,0.5925,0.16975
"Overall","overall","preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,-0.0031311234855058,-0.00331778296527058,0.0516197229135565,-0.105182052609904,0.0964904309887896,0.474,0.15125,0.298
"Overall","overall","preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,1.00220660154252,0.989770315745745,0.158598974816893,0.724428577606471,1.34446826314438,0.474,0.26475,0.2475
"Overall","overall","competition","prevalence_nonuser","prevalence",NA,0,0.353553455804565,0.353142150699738,0.0582430238334068,0.239983940443745,0.470834275734092,NA,NA,NA
"Overall","overall","competition","prevalence_median_user","prevalence",NA,0.5,0.426368832735571,0.426307437407367,0.0322775554269778,0.364076175188358,0.490089416283207,NA,NA,NA
"Overall","overall","competition","prevalence_low_user","prevalence",NA,0.363636363636364,0.354561772442937,0.353763557392043,0.0379327197349325,0.281233342959846,0.430480027300277,NA,NA,NA
"Overall","overall","competition","prevalence_high_user","prevalence",NA,0.714285714285714,0.504045302544774,0.503956535155384,0.0414646626539834,0.423770612710202,0.58486152523901,NA,NA,NA
"Overall","overall","competition","adoption_difference","prevalence_difference",0,0.5,0.0728153769310062,0.0727995240320416,0.0648237164532605,-0.056030386312186,0.198094133121225,0.8695,0.641,0.13
"Overall","overall","competition","adoption_ratio","prevalence_ratio",0,0.5,1.24006947754997,1.20905674348562,0.233733271770957,0.875799752758471,1.80373002157159,0.8695,0.70475,0.13125
"Overall","overall","competition","dose_difference","prevalence_difference",0.363636363636364,0.714285714285714,0.149483530101837,0.150153167215524,0.0581372467228941,0.0328150794902877,0.263605198459857,0.99425,0.954,0.01175
"Overall","overall","competition","dose_ratio","prevalence_ratio",0.363636363636364,0.714285714285714,1.43918898769022,1.42591152762952,0.204268412290835,1.07877577409599,1.88074376673173,0.99425,0.96675,0.01225
