"group","group_type","period","estimand","measure","share_from","share_to","mean","median","sd","lower_95","upper_95","probability_above_null","probability_above_threshold","probability_in_rope"
"Under 20","age","preparation","prevalence_nonuser","prevalence",NA,0,0.253226248712917,0.251291989699908,0.0458513327696621,0.170362984597698,0.347737346580718,NA,NA,NA
"Under 20","age","preparation","prevalence_median_user","prevalence",NA,0.428571428571429,0.292502577617215,0.29202759094399,0.0325752940601448,0.231828340781841,0.35763883457456,NA,NA,NA
"Under 20","age","preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.284199185654333,0.28379669185728,0.0376057437440097,0.215096897174676,0.361178493840183,NA,NA,NA
"Under 20","age","preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.281317425310698,0.280587475454315,0.0382323303586231,0.2109058561041,0.358782655191378,NA,NA,NA
"Under 20","age","preparation","adoption_difference","prevalence_difference",0,0.428571428571429,0.0392763289042978,0.0399623390328439,0.0499037632143949,-0.0611122079566437,0.134334957909556,0.783,0.41975,0.22525
"Under 20","age","preparation","adoption_ratio","prevalence_ratio",0,0.428571428571429,1.18962464506649,1.16074285470264,0.237040583257853,0.816697028139843,1.71624609186575,0.783,0.606,0.15575
"Under 20","age","preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,-0.00288176034363503,-0.00299613832771485,0.0474750412419411,-0.0965674298832941,0.0895224136787305,0.474,0.133,0.32275
"Under 20","age","preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,1.0035826403364,0.989103082286246,0.170484843364077,0.704393773852426,1.37233671232247,0.474,0.27675,0.2265
"Under 23","age","preparation","prevalence_nonuser","prevalence",NA,0,0.300563622246713,0.298910479376658,0.0486975067463412,0.209573409118639,0.398625968652184,NA,NA,NA
"Under 23","age","preparation","prevalence_median_user","prevalence",NA,0.428571428571429,0.34483979914384,0.344742122474901,0.0321713378923983,0.283117347059224,0.40789997192221,NA,NA,NA
"Under 23","age","preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.335502944479272,0.335008883261159,0.0380581649015303,0.263415028869444,0.412416979515394,NA,NA,NA
"Under 23","age","preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.332300044273945,0.33226866239116,0.0401109536148867,0.255689763663064,0.412527778230604,NA,NA,NA
"Under 23","age","preparation","adoption_difference","prevalence_difference",0,0.428571428571429,0.0442761768971277,0.0451481803629588,0.0560055478986793,-0.0669390372535664,0.151468210183369,0.783,0.461,0.2025
"Under 23","age","preparation","adoption_ratio","prevalence_ratio",0,0.428571428571429,1.17750151685944,1.15216805573923,0.221764369153463,0.821853985105163,1.67162276984102,0.783,0.59475,0.16675
"Under 23","age","preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,-0.00320290020532671,-0.00335153408042055,0.052841752873188,-0.107528971759062,0.0987969277012409,0.474,0.15625,0.291
"Under 23","age","preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,1.00225066176375,0.989596382555143,0.160401932652151,0.719752986065043,1.34731512449039,0.474,0.26525,0.24375
"Senior","age","preparation","prevalence_nonuser","prevalence",NA,0,0.356323771746317,0.35535402367702,0.057940402860628,0.246499878630935,0.47029529858026,NA,NA,NA
"Senior","age","preparation","prevalence_median_user","prevalence",NA,0.428571428571429,0.403933481061345,0.404663235612386,0.0403656167584128,0.325053387769401,0.483032057486808,NA,NA,NA
"Senior","age","preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.393910494742783,0.393993148971142,0.045567735172781,0.305962306589497,0.48321483584179,NA,NA,NA
"Senior","age","preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.390509102908989,0.390121309317112,0.0478274009530685,0.299473876088779,0.487622372178557,NA,NA,NA
"Senior","age","preparation","adoption_difference","prevalence_difference",0,0.428571428571429,0.0476097093150287,0.0480241223835613,0.0599990648514929,-0.0699694334725277,0.161502424679665,0.783,0.48675,0.19325
"Senior","age","preparation","adoption_ratio","prevalence_ratio",0,0.428571428571429,1.15974138029109,1.13695257122246,0.200077422226445,0.838099056260261,1.60720485751494,0.783,0.5715,0.18225
"Senior","age","preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,-0.00340139183379425,-0.00356684732388873,0.0561242808053325,-0.113915294329951,0.105061636459504,0.474,0.17275,0.2735
"Senior","age","preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,1.00104032443809,0.990697712310149,0.145316033666956,0.741909806764269,1.31026501691378,0.474,0.2425,0.27125
"Under 20","age","competition","prevalence_nonuser","prevalence",NA,0,0.300854338386082,0.299007455327272,0.056605395860166,0.196734661267615,0.417167394746369,NA,NA,NA
"Under 20","age","competition","prevalence_median_user","prevalence",NA,0.5,0.368550404700057,0.36795646380227,0.0348925440072404,0.303368015507975,0.439184564668,NA,NA,NA
"Under 20","age","competition","prevalence_low_user","prevalence",NA,0.363636363636364,0.301342459435611,0.300235098542876,0.0379721459163424,0.230764302554283,0.380362804532921,NA,NA,NA
"Under 20","age","competition","prevalence_high_user","prevalence",NA,0.714285714285714,0.443923640182161,0.443446159056607,0.0450244377101045,0.359682910109361,0.534025193252547,NA,NA,NA
"Under 20","age","competition","adoption_difference","prevalence_difference",0,0.5,0.0676960663139742,0.0683432163790053,0.0602438423870461,-0.0533935219856452,0.183099138535332,0.8695,0.62175,0.1375
"Under 20","age","competition","adoption_ratio","prevalence_ratio",0,0.5,1.26699522803903,1.23068577148812,0.26140604822389,0.860650077187762,1.90445866978602,0.8695,0.7185,0.11925
"Under 20","age","competition","dose_difference","prevalence_difference",0.363636363636364,0.714285714285714,0.14258118074655,0.14272869210628,0.0558128079405961,0.0309443665080427,0.253468053522656,0.99425,0.95025,0.0125
"Under 20","age","competition","dose_ratio","prevalence_ratio",0.363636363636364,0.714285714285714,1.49517053152673,1.47606144191132,0.233695770497929,1.08786407975061,2.00308701750812,0.99425,0.9705,0.01125
"Under 23","age","competition","prevalence_nonuser","prevalence",NA,0,0.35939666961246,0.358637258721638,0.0601711053072069,0.243582431022171,0.481820274721023,NA,NA,NA
"Under 23","age","competition","prevalence_median_user","prevalence",NA,0.5,0.434098363435912,0.433033531363101,0.0340790381831474,0.368541577951759,0.502296344550077,NA,NA,NA
"Under 23","age","competition","prevalence_low_user","prevalence",NA,0.363636363636364,0.360452881134215,0.359806185121002,0.0397339193978777,0.284186325190141,0.438945815956519,NA,NA,NA
"Under 23","age","competition","prevalence_high_user","prevalence",NA,0.714285714285714,0.513483992089857,0.513517548509093,0.0429241407383755,0.429743838999779,0.596277135390281,NA,NA,NA
"Under 23","age","competition","adoption_difference","prevalence_difference",0,0.5,0.0747016938234515,0.074749335298406,0.0664889061499661,-0.0574078692160066,0.203263903587983,0.8695,0.64875,0.125
"Under 23","age","competition","adoption_ratio","prevalence_ratio",0,0.5,1.24275730511022,1.21041083953387,0.236758446429169,0.874751733672278,1.82160698807796,0.8695,0.7065,0.13175
"Under 23","age","competition","dose_difference","prevalence_difference",0.363636363636364,0.714285714285714,0.153031110955642,0.153905903453505,0.0593768517722999,0.0334759788366605,0.269095734112239,0.99425,0.95675,0.0115
"Under 23","age","competition","dose_ratio","prevalence_ratio",0.363636363636364,0.714285714285714,1.44274845165447,1.42904246603765,0.206400188522073,1.07844656493111,1.89354878023359,0.99425,0.967,0.01225
"Senior","age","competition","prevalence_nonuser","prevalence",NA,0,0.422823051042205,0.423770674295953,0.066614540016205,0.293513609011051,0.554475511107987,NA,NA,NA
"Senior","age","competition","prevalence_median_user","prevalence",NA,0.5,0.500649020599972,0.501357412215318,0.0422036679124009,0.415975791419807,0.580976154109705,NA,NA,NA
"Senior","age","competition","prevalence_low_user","prevalence",NA,0.363636363636364,0.424527880660457,0.424178338920072,0.0482517569418875,0.329676282700244,0.517644288083271,NA,NA,NA
"Senior","age","competition","prevalence_high_user","prevalence",NA,0.714285714285714,0.579458500635446,0.580055423426413,0.047530782601186,0.482230537071673,0.669580277594268,NA,NA,NA
"Senior","age","competition","adoption_difference","prevalence_difference",0,0.5,0.0778259695577671,0.0774684072936597,0.0694732564137689,-0.0578263306363072,0.213443541231711,0.8695,0.65875,0.1225
"Senior","age","competition","adoption_ratio","prevalence_ratio",0,0.5,1.21158917196197,1.18363254560567,0.206180738325331,0.891387413086515,1.71284620986629,0.8695,0.68175,0.1475
"Senior","age","competition","dose_difference","prevalence_difference",0.363636363636364,0.714285714285714,0.154930619974989,0.155772321130978,0.0601386806230278,0.0340683955988929,0.27077242292453,0.99425,0.9575,0.0115
"Senior","age","competition","dose_ratio","prevalence_ratio",0.363636363636364,0.714285714285714,1.38039291862714,1.36810707142732,0.17724897345908,1.07020280152862,1.7713638596057,0.99425,0.9595,0.01475
