"group","group_type","period","estimand","measure","share_from","share_to","mean","median","sd","lower_95","upper_95","probability_above_null","probability_above_threshold","probability_in_rope"
"Men","sex","preparation","prevalence_nonuser","prevalence",NA,0,0.323182830021099,0.321738766203583,0.0526576755524908,0.224885614838011,0.42837810567084,NA,NA,NA
"Men","sex","preparation","prevalence_median_user","prevalence",NA,0.428571428571429,0.368796207415135,0.368418910758412,0.0348522352634661,0.302119629544027,0.437193901662859,NA,NA,NA
"Men","sex","preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.359183057110654,0.358159862379567,0.0407047615265136,0.282164842142313,0.44232490803012,NA,NA,NA
"Men","sex","preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.355868313169561,0.355802856017228,0.04249218871828,0.275884598378518,0.439969863529014,NA,NA,NA
"Men","sex","preparation","adoption_difference","prevalence_difference",0,0.428571428571429,0.0456133773940364,0.0462451941491331,0.0576456074252597,-0.0687082488680028,0.155100835503637,0.783,0.47275,0.198
"Men","sex","preparation","adoption_ratio","prevalence_ratio",0,0.428571428571429,1.16980755193289,1.14477534231965,0.212207443944392,0.82972839782423,1.64661337250033,0.783,0.5845,0.175
"Men","sex","preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,-0.00331474394109302,-0.00349904413175425,0.054228122069714,-0.111003161987918,0.10103686433087,0.474,0.164,0.28275
"Men","sex","preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,1.00167735713091,0.990082841537864,0.153603047653124,0.730183246954954,1.33177182534572,0.474,0.257,0.256
"Women","sex","preparation","prevalence_nonuser","prevalence",NA,0,0.263808945369938,0.262418193001252,0.0467159849545513,0.176738946469181,0.359725256638893,NA,NA,NA
"Women","sex","preparation","prevalence_median_user","prevalence",NA,0.428571428571429,0.303996703904687,0.302754737968912,0.0341058795667396,0.240143494314103,0.372589933083361,NA,NA,NA
"Women","sex","preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.295506544074245,0.293799814590215,0.0388143391619201,0.222516311119982,0.37350775748912,NA,NA,NA
"Women","sex","preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.292608634261391,0.291390022736991,0.0400496559989293,0.217833094063375,0.374461354569699,NA,NA,NA
"Women","sex","preparation","adoption_difference","prevalence_difference",0,0.428571428571429,0.0401877585347491,0.0409855560416649,0.050966829103786,-0.0623154728607763,0.136921395535579,0.783,0.428,0.22025
"Women","sex","preparation","adoption_ratio","prevalence_ratio",0,0.428571428571429,1.18496833722004,1.15839775222253,0.231525578809889,0.816855370561072,1.70492012552825,0.783,0.60175,0.1615
"Women","sex","preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,-0.002897909812854,-0.00306534139245768,0.048342284324494,-0.0982448780257999,0.0898825342752058,0.474,0.13925,0.3155
"Women","sex","preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,1.00316148239852,0.989128787423681,0.167120777045075,0.712362608740438,1.3658607407697,0.474,0.2725,0.233
"Men","sex","competition","prevalence_nonuser","prevalence",NA,0,0.384648735582244,0.383149889899751,0.0630469176892604,0.262647906097752,0.511356298215185,NA,NA,NA
"Men","sex","competition","prevalence_median_user","prevalence",NA,0.5,0.460516625026399,0.459856564935575,0.0363197427259963,0.388760796705921,0.532935270081758,NA,NA,NA
"Men","sex","competition","prevalence_low_user","prevalence",NA,0.363636363636364,0.385898954772419,0.386169818378992,0.0419110570900289,0.303208358556977,0.469094376333195,NA,NA,NA
"Men","sex","competition","prevalence_high_user","prevalence",NA,0.714285714285714,0.539605824618593,0.539878086605946,0.0448117789976453,0.454183124329246,0.625728542305902,NA,NA,NA
