"group","term","period","mean","median","sd","lower_95","upper_95","probability_positive","probability_gt_5pp","probability_rope_2pp"
"intercept","intercept","preparation",-1.90756438159756,-1.9103982764027,0.360333846653633,-2.60990259178519,-1.18659165317132,0,0,0
"exposure","any_carbon_at_center_share","preparation",0.0407495990231882,0.0579901708595804,0.405846111379359,-0.834705830300908,0.802073061778059,0.569,0.5095,0.0455
"exposure_gp","gp_marginal_sd","preparation",0.501860767440932,0.451897014048561,0.334612551500186,0.0320382940262855,1.28351044443993,1,0.95825,0.01575
"exposure_gp","gp_lengthscale","preparation",0.39880537917625,0.294913435171223,0.369738137487355,0.111974201946551,1.34224653135855,1,1,0
"intercept","intercept","competition",-1.58502317860529,-1.58149608076516,0.400244207672067,-2.3557023280389,-0.789505275178131,0,0,0
"exposure","any_carbon_at_center_share","competition",0.154470460993535,0.162188395206177,0.429525337130111,-0.723716727471325,0.975082918765145,0.65075,0.60925,0.032
"exposure_gp","gp_marginal_sd","competition",0.592136145510361,0.539450631255403,0.332843551457381,0.0844453668864112,1.3929206941897,1,0.987,0.005
"exposure_gp","gp_lengthscale","competition",0.37761130979276,0.325527068402972,0.232203998420605,0.122777817688981,0.91110072971861,1,1,0
"covariate","age_z","common",0.0621483225827135,0.0613874951238773,0.112821345385679,-0.158435860499231,0.281654207575661,0.70975,0.53875,0.1225
"covariate","sex_female","common",-0.389836133600159,-0.389335944087252,0.246844879787132,-0.878500807809912,0.0859228066636824,0.05925,0.03875,0.01825
"covariate","height_z","common",-0.017245532222272,-0.0182836295474557,0.158892491153435,-0.328800150414112,0.304602433890599,0.452,0.32875,0.1005
"covariate","weight_z","common",-0.100912849725878,-0.0984667374038932,0.160818413466988,-0.417799982852156,0.209720294254037,0.2705,0.173,0.0885
"covariate","experience_z","common",0.161348306546126,0.161002518977005,0.105793163310735,-0.0490920006903538,0.370444268435916,0.9385,0.8585,0.04625
"covariate","prior_injury","common",1.46784669672716,1.46518350938618,0.22739840856274,1.0264464694801,1.92332786021868,1,1,0
"covariate","fondo_lungo_total_z","common",-0.237586743812372,-0.239258835800883,0.143308183191352,-0.517831562173712,0.03550004411899,0.0425,0.02125,0.0295
"covariate","fondo_medio_total_z","common",0.159805300464247,0.159614743378695,0.13715028856253,-0.111455198355915,0.421797089691361,0.87325,0.7905,0.05675
"covariate","lattacido_total_z","common",-0.125647431492418,-0.126604046423067,0.12576290451079,-0.374326483664807,0.118949469916569,0.16125,0.085,0.07625
"covariate","max_velocity_total_z","common",0.197304992068474,0.200226674630311,0.121962108428582,-0.0400442073302085,0.439267571410567,0.949,0.88875,0.0325
"covariate","tecnica_total_z","common",-0.0239008410576015,-0.024597412968153,0.110732947276001,-0.244969347273232,0.188984979274793,0.4115,0.25675,0.13925
"covariate","palestra_z","common",-0.191468870602897,-0.189672466122496,0.105493801234703,-0.400138786231549,0.0104262462537996,0.03225,0.01025,0.0305
"discipline","discipline_1","common",0.0742674383473858,0.059683051025039,0.170341347773976,-0.256453187484384,0.44151456479381,0.66675,0.52175,0.12375
"discipline","discipline_2","common",-0.0725829825175573,-0.0494908814983816,0.199460536021437,-0.510472330324192,0.300035751792163,0.37275,0.25325,0.116
"discipline","discipline_3","common",0.0152147219269832,0.00551766473671069,0.202931401067205,-0.392959139380036,0.446002406694805,0.516,0.386,0.11175
"discipline","discipline_4","common",-0.226268518226489,-0.209841758336451,0.195180559421154,-0.648287160822413,0.0862585605356566,0.11725,0.04375,0.073
"discipline","discipline_5","common",0.208760904451813,0.180636644966837,0.220843367011406,-0.150711916049425,0.708881390383272,0.84225,0.741,0.08675
"discipline","discipline_6","common",-0.333819596368817,-0.26955010694542,0.326778068788854,-1.11161003333376,0.103744404884207,0.126,0.06,0.077
"discipline","discipline_7","common",0.0681611521149821,0.0524983950601186,0.204674399686022,-0.330796866960123,0.508345617133277,0.6315,0.5085,0.11
"scale","sigma_athlete","common",0.370426788543082,0.347965753899354,0.239384734380672,0.0153528977727775,0.873293677567944,1,0.923,0.03125
"scale","tau_discipline","common",0.286553445631832,0.270075644173387,0.16452604681089,0.0284802174393527,0.66408630695363,1,0.95,0.017
