"group","term","period","mean","median","sd","lower_95","upper_95","probability_positive","probability_gt_5pp","probability_rope_2pp"
"intercept","intercept","preparation",-1.73805504432149,-1.72943554537796,0.287704138176934,-2.32692801751066,-1.19813141590331,0,0,0
"intercept","intercept","competition",-1.35413454981824,-1.35358226301155,0.282870845679374,-1.9226906580827,-0.812136235972433,0,0,0
"covariate","age_z","common",0.0893793047675059,0.0898817345704097,0.110018446940532,-0.125811880381344,0.305847404210266,0.79,0.63875,0.10075
"covariate","sex_female","common",-0.330067614463895,-0.326537242247851,0.248303333068113,-0.813086880379067,0.143185023323282,0.091,0.05975,0.0285
"covariate","height_z","common",-0.0021170311272354,-0.00360301327841155,0.155754370263487,-0.302650533040282,0.307605178945069,0.49025,0.36275,0.09875
"covariate","weight_z","common",-0.0842646176121473,-0.0847601251065289,0.161808392453993,-0.403020353165885,0.231504931404306,0.29825,0.19875,0.09025
"covariate","experience_z","common",0.127079433811997,0.125816030867821,0.106624415707345,-0.0771987953362641,0.346940106530778,0.88625,0.77075,0.074
"covariate","prior_injury","common",1.43972703875035,1.43550167162069,0.23174718605223,0.990719186300549,1.90479835592791,1,1,0
"covariate","fondo_lungo_total_z","common",-0.294691330408049,-0.293599100781977,0.137543380936295,-0.564892188054772,-0.0343550919556511,0.01425,0.00475,0.008
"covariate","fondo_medio_total_z","common",0.155345438795325,0.157489567259515,0.136014939368242,-0.104666328638228,0.424739389834321,0.8725,0.7745,0.0625
"covariate","lattacido_total_z","common",-0.104784926578407,-0.103631380575944,0.128414344509612,-0.351256515338336,0.138931287979191,0.206,0.1185,0.08475
"covariate","max_velocity_total_z","common",0.180296728138642,0.180822799902441,0.118378885976167,-0.0472481209480567,0.412438275461851,0.939,0.86475,0.04275
"covariate","tecnica_total_z","common",-0.0159904663223035,-0.01628127500937,0.11060315739572,-0.234600183237343,0.201580011087196,0.43975,0.27225,0.14175
"covariate","palestra_z","common",-0.189770701886178,-0.189853314914741,0.108817116258636,-0.407577788348238,0.0193206873395155,0.04075,0.011,0.0385
"discipline","discipline_1","common",0.104602381010037,0.0874068798316928,0.172604391952912,-0.207386782039559,0.471048759399332,0.7245,0.5865,0.11125
"discipline","discipline_2","common",-0.0885537341213282,-0.0652068581492146,0.200467762331953,-0.533852482101969,0.292004638362682,0.33325,0.21375,0.1125
"discipline","discipline_3","common",-0.00571626743632868,-0.00101953784332276,0.215225113978727,-0.463225633332756,0.433660806342355,0.4955,0.37175,0.11275
"discipline","discipline_4","common",-0.212385604483881,-0.195313386742021,0.191615187727807,-0.628715953667471,0.101293996338693,0.1205,0.0505,0.087
"discipline","discipline_5","common",0.22189160870185,0.197432470325656,0.223353614366808,-0.145497112085929,0.710760348131144,0.8545,0.7565,0.07675
"discipline","discipline_6","common",-0.378257181900717,-0.319345983221803,0.344150956265123,-1.2012053949132,0.0947901208985757,0.105,0.05,0.06275
"discipline","discipline_7","common",0.0944828504143808,0.0743214119511257,0.203237601796324,-0.301028817570144,0.530243957498891,0.68375,0.549,0.10775
"scale","sigma_athlete","common",0.415888939190286,0.403607306074057,0.252010999130759,0.0202309872647887,0.923218380418551,1,0.9385,0.025
"scale","tau_discipline","common",0.306036347725702,0.286488078164441,0.176179746193144,0.0276510416202279,0.706349810259909,1,0.9505,0.01625
