"group","term","period","mean","median","sd","lower_95","upper_95","probability_positive","probability_gt_5pp","probability_rope_2pp"
"intercept","intercept","preparation",-1.9098919264921,-1.90819545885089,0.350534674313833,-2.61253663091282,-1.23469797161308,0,0,0
"exposure","any_carbon_at_center_share","preparation",0.217169997334032,0.220405434250109,0.292340813896917,-0.351850037991265,0.79181904729112,0.7695,0.7175,0.04025
"exposure","share_basis_1","preparation",0.288178568441003,0.283598949338918,0.500922783664752,-0.663978104504741,1.27101242091799,0.71275,0.68,0.027
"intercept","intercept","competition",-1.59393422339531,-1.59703314661937,0.384658291643457,-2.34991814161508,-0.842765286627532,0,0,0
"exposure","any_carbon_at_center_share","competition",0.224625734874313,0.22154569370038,0.327754952467183,-0.40906964011714,0.860553327878209,0.7545,0.70525,0.042
"exposure","share_basis_1","competition",0.825534724771368,0.817180628545707,0.451080367538955,-0.0435337722668364,1.70412220460242,0.9685,0.96175,0.00575
"covariate","age_z","common",0.0671457432775547,0.0679810858406465,0.110172950562226,-0.148499959069152,0.281859399931879,0.729,0.55575,0.1135
"covariate","sex_female","common",-0.351481086012054,-0.347494203870866,0.24199253425932,-0.831926408956554,0.135164906685899,0.07,0.048,0.022
"covariate","height_z","common",-0.00308568043717447,-0.00250282817894689,0.15643040895942,-0.308495291086643,0.306071353437985,0.49275,0.3605,0.1065
"covariate","weight_z","common",-0.0917411661194487,-0.0889107335468123,0.160281151209504,-0.41315036394149,0.21834217185394,0.28775,0.18575,0.0835
"covariate","experience_z","common",0.150092769907772,0.150223710302439,0.10488531963907,-0.0566412198325409,0.353479162133621,0.924,0.83375,0.05475
"covariate","prior_injury","common",1.46309590550798,1.46036686004438,0.222620291184637,1.02659918428654,1.89627664985846,1,1,0
"covariate","fondo_lungo_total_z","common",-0.253336633435552,-0.251476931289736,0.139415931452629,-0.530362411388854,0.022140337898881,0.03525,0.0135,0.02125
"covariate","fondo_medio_total_z","common",0.158963064080852,0.159822477156948,0.136799689518053,-0.110328730962655,0.419053130213407,0.878,0.78675,0.06175
"covariate","lattacido_total_z","common",-0.122191230125721,-0.122549864549725,0.127986636492561,-0.374893466222169,0.129098886376464,0.169,0.0905,0.073
"covariate","max_velocity_total_z","common",0.184794416465938,0.186364486641625,0.12003533237608,-0.0453882105431649,0.417584910326001,0.94025,0.87075,0.04325
"covariate","tecnica_total_z","common",-0.0193437869025367,-0.0208364621490087,0.111228347222143,-0.234495422762828,0.199005069833922,0.43025,0.26625,0.13175
"covariate","palestra_z","common",-0.186317915896799,-0.187958341442264,0.107417849451744,-0.396987377164593,0.0248347387723311,0.04325,0.01675,0.03425
"discipline","discipline_1","common",0.0781486066638788,0.0580071414012565,0.165488590757786,-0.232843649953351,0.442109151799886,0.675,0.51825,0.13425
"discipline","discipline_2","common",-0.0629026699115762,-0.0408416996318217,0.180862581294652,-0.446607752070538,0.287097725225251,0.37225,0.239,0.143
"discipline","discipline_3","common",0.0155057938465993,0.00773831285226202,0.19961528306202,-0.399915721740128,0.436748243533462,0.52825,0.3845,0.13
"discipline","discipline_4","common",-0.194552973997735,-0.172317726214684,0.188695639293272,-0.612811018716413,0.101839015052709,0.132,0.0575,0.0965
"discipline","discipline_5","common",0.203237634157541,0.166099559737759,0.22529086128583,-0.15019231708819,0.708603608673143,0.8255,0.71325,0.10475
"discipline","discipline_6","common",-0.316148467093839,-0.250190207267524,0.327472968744296,-1.12382590328936,0.121476903243712,0.13975,0.063,0.08825
"discipline","discipline_7","common",0.0738245107275062,0.0525556321886182,0.194899212763226,-0.297680340986492,0.497315975562524,0.64125,0.5065,0.121
"scale","sigma_athlete","common",0.395245558216753,0.375847948384248,0.243386926518495,0.0216292275027236,0.896142746670656,1,0.9425,0.0225
"scale","tau_discipline","common",0.27348277021964,0.251659241714736,0.171168554183562,0.0199496044504769,0.661919522304967,1,0.93175,0.02525
