"model","period","estimand","measure","share_from","share_to","mean","median","sd","lower_95","upper_95","probability_above_null","probability_above_threshold","probability_in_rope"
"primary_gp_association","preparation","prevalence_nonuser","prevalence",NA,0,0.295386039573648,0.293121349806192,0.0483122778772827,0.205013554436624,0.395046247820678,NA,NA,NA
"primary_gp_association","preparation","prevalence_median_user","prevalence",NA,0.421052631578947,0.360718340537326,0.357342078148819,0.0400648684234035,0.291270406774096,0.449094206025067,NA,NA,NA
"primary_gp_association","preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.345070993958611,0.341635083727164,0.0405008027200105,0.272945853316632,0.434812579197034,NA,NA,NA
"primary_gp_association","preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.343570128861312,0.342213506563675,0.0394875860276694,0.267975890144817,0.427365151396019,NA,NA,NA
"primary_gp_association","preparation","adoption_difference","prevalence_difference",0,0.421052631578947,0.0653323009636772,0.0643346448709743,0.0628137463205617,-0.0555500067192361,0.191557396461797,0.853,0.5905,0.15325
"primary_gp_association","preparation","adoption_ratio","prevalence_ratio",0,0.421052631578947,1.25571455906246,1.22235860859641,0.260887270902231,0.850554819893056,1.85183914479192,0.853,0.702,0.12925
"primary_gp_association","preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,-0.00150086509729885,0.000404790231234076,0.0526075926020852,-0.119458796149576,0.102248871347049,0.506,0.13825,0.41075
"primary_gp_association","preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,1.0072192722058,1.00113026377113,0.151154432174207,0.704161236580144,1.34613813277894,0.506,0.2185,0.366
"primary_gp_association","competition","prevalence_nonuser","prevalence",NA,0,0.375098800016498,0.374538546292875,0.061786347404537,0.258541131918199,0.497645345526916,NA,NA,NA
"primary_gp_association","competition","prevalence_median_user","prevalence",NA,0.5,0.422529192847039,0.423466641656942,0.03930587315589,0.343327850402019,0.496958518936272,NA,NA,NA
"primary_gp_association","competition","prevalence_low_user","prevalence",NA,0.360227272727273,0.375911266695932,0.37627353828824,0.0459216666114923,0.282305132014973,0.461461076296608,NA,NA,NA
"primary_gp_association","competition","prevalence_high_user","prevalence",NA,0.714285714285714,0.507602472405779,0.505681331684301,0.0536665935550821,0.411284876442848,0.619954767304277,NA,NA,NA
"primary_gp_association","competition","adoption_difference","prevalence_difference",0,0.5,0.047430392830541,0.0469465570582155,0.072134889193052,-0.0963885398517464,0.185955520165329,0.747,0.484,0.182
"primary_gp_association","competition","adoption_ratio","prevalence_ratio",0,0.5,1.15860914594162,1.12538928467647,0.228866996998978,0.795318328139047,1.70498384227457,0.747,0.54625,0.182
"primary_gp_association","competition","dose_difference","prevalence_difference",0.360227272727273,0.714285714285714,0.131691205709847,0.128529749954651,0.0785609656776122,-0.00173498119909796,0.290809753177135,0.96925,0.83575,0.07825
"primary_gp_association","competition","dose_ratio","prevalence_ratio",0.360227272727273,0.714285714285714,1.37652077122328,1.34233839333328,0.262031917137439,0.996219560178384,1.99264211147441,0.96925,0.8595,0.08125
"sensitivity_linear_share","preparation","prevalence_nonuser","prevalence",NA,0,0.299926672636205,0.29670875537679,0.0483579793748793,0.20942836423414,0.400089018791764,NA,NA,NA
"sensitivity_linear_share","preparation","prevalence_median_user","prevalence",NA,0.421052631578947,0.334778528951879,0.334278670061708,0.026486037061124,0.281716039768101,0.38694151350018,NA,NA,NA
"sensitivity_linear_share","preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.327505879686865,0.327222178887735,0.0305747349939262,0.267081798975128,0.387287762299855,NA,NA,NA
"sensitivity_linear_share","preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.343194997135087,0.343284083430851,0.0288198370544821,0.285711330341455,0.400037791234834,NA,NA,NA
"sensitivity_linear_share","preparation","adoption_difference","prevalence_difference",0,0.421052631578947,0.0348518563156739,0.0362630659108996,0.0534603997835406,-0.0733377680274459,0.134727412823091,0.74675,0.396,0.22075
