"group","term","period","mean","median","sd","lower_95","upper_95","probability_positive","probability_gt_5pp","probability_rope_2pp"
"intercept","intercept","preparation",-2.13873056701038,-2.13327179751349,0.381984496876576,-2.8859858073129,-1.39742794894246,0,0,0
"exposure","any_carbon_at_center_share","preparation",0.00104092689723819,0.0332649987283694,0.452523138373294,-0.956702382873047,0.821045061062818,0.529,0.4845,0.0355
"exposure_gp","gp_marginal_sd","preparation",0.704863022476208,0.602214782203909,0.500868746008863,0.0335728816704099,1.92269547616087,1,0.9635,0.01725
"exposure_gp","gp_lengthscale","preparation",0.413344562892827,0.30848715257577,0.361025341324896,0.123627465528538,1.36000151948974,1,1,0
"intercept","intercept","competition",-1.80661736223107,-1.80708560149859,0.4193329608655,-2.64745599649226,-0.976167450522348,0,0,0
"exposure","any_carbon_at_center_share","competition",0.119060225219124,0.129813657028926,0.475140311986363,-0.854587459748135,0.988068380485428,0.604,0.565,0.033
"exposure_gp","gp_marginal_sd","competition",0.806310064003798,0.698075529407103,0.495227486570212,0.0955475664539192,2.05057674120952,1,0.9855,0.00575
"exposure_gp","gp_lengthscale","competition",0.418577366089293,0.358593091118403,0.276579060645625,0.132108877608908,1.06128958320811,1,1,0
"covariate","age_z","common",0.0433421472793248,0.0424737960095039,0.120881923223607,-0.190106214791867,0.285165619830611,0.6425,0.47575,0.1245
"covariate","sex_female","common",-0.515310834280862,-0.517906158449059,0.282115913626528,-1.06927458014243,0.0290342733598934,0.0325,0.02125,0.012
"covariate","height_z","common",-0.0365889177224803,-0.0401930012640825,0.174261053931619,-0.378245789832067,0.306373678323265,0.418,0.32075,0.08275
"covariate","weight_z","common",-0.14881147701549,-0.150076177802854,0.176813819847852,-0.491382703610319,0.190481378593844,0.2075,0.135,0.061
"covariate","experience_z","common",0.17906654343286,0.179851221865966,0.114171751540441,-0.037567274133961,0.399941298399991,0.945,0.86375,0.043
"covariate","prior_injury","common",1.77716873814457,1.7707051960018,0.260016218203358,1.2782429162183,2.30278997059558,1,1,0
"covariate","fondo_lungo_total_z","common",-0.269310683121753,-0.269724799679525,0.156113943678123,-0.573470279195481,0.0328137381799702,0.04475,0.0205,0.02375
"covariate","fondo_medio_total_z","common",0.194259123635919,0.190575420505458,0.141988917337092,-0.0776203788985126,0.468976239918825,0.9175,0.8485,0.0465
"covariate","lattacido_total_z","common",-0.138711424923196,-0.1368240146688,0.136115437454172,-0.415706687509195,0.12401781583713,0.154,0.081,0.066
"covariate","max_velocity_total_z","common",0.221381662485248,0.221001804230686,0.12578531073701,-0.0207223037277281,0.470714907503352,0.961,0.91625,0.02575
"covariate","tecnica_total_z","common",-0.0235470532602824,-0.0233833026390001,0.113689811168127,-0.253699661532665,0.195722010454284,0.419,0.254,0.1415
"covariate","palestra_z","common",-0.20253131302133,-0.202086327184325,0.110359972635573,-0.422426143672896,0.0136474097453746,0.0305,0.01075,0.02625
"discipline","discipline_1","common",0.0599327008128334,0.0458427830338432,0.170828115388868,-0.26482861810451,0.42860563897443,0.63025,0.49,0.1165
"discipline","discipline_2","common",-0.08341873567912,-0.0576707593104663,0.199423152128922,-0.529033957644496,0.268143562278679,0.3515,0.23125,0.11575
"discipline","discipline_3","common",0.0231522428007806,0.015403957687255,0.210156755022539,-0.407129221240185,0.454233567471156,0.54225,0.41775,0.11725
"discipline","discipline_4","common",-0.23098210791328,-0.209255449428363,0.203641225144082,-0.679265841080592,0.0886164066408654,0.1125,0.04725,0.0785
"discipline","discipline_5","common",0.207017328677088,0.176176918139931,0.22749964100863,-0.160420877206108,0.726427358330661,0.835,0.7205,0.09475
"discipline","discipline_6","common",-0.347154837062553,-0.280175813858636,0.341253291704779,-1.16941648838426,0.117718652369104,0.13025,0.05875,0.07475
"discipline","discipline_7","common",0.0774159500196532,0.0591285197314203,0.205938801068119,-0.316989764937963,0.540377922244483,0.653,0.52075,0.11825
"scale","sigma_athlete","common",0.444864483783128,0.434347675185405,0.252037892426179,0.0255482296972861,0.951636993163388,1,0.952,0.0185
"scale","tau_discipline","common",0.293379502054165,0.275019820693687,0.16923662211306,0.0233197314123015,0.681511252175795,1,0.94925,0.02075
