"group","group_type","period","estimand","measure","share_from","share_to","mean","median","sd","lower_95","upper_95","probability_above_null","probability_above_threshold","probability_in_rope"
"Overall","overall","preparation","prevalence_nonuser","prevalence",NA,0,0.292926114076351,0.291163455503584,0.049070188030429,0.202592416676377,0.394341088733027,NA,NA,NA
"Overall","overall","preparation","prevalence_median_user","prevalence",NA,0.428571428571429,0.340461109454816,0.337906635616796,0.0361982449563914,0.276018992783441,0.419536284959744,NA,NA,NA
"Overall","overall","preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.328753022703239,0.327184043172689,0.0363524148389961,0.261285662939069,0.405349357209695,NA,NA,NA
"Overall","overall","preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.332041164307659,0.330096903385125,0.0373862754615228,0.261278685943206,0.409818621694131,NA,NA,NA
"Overall","overall","preparation","adoption_difference","prevalence_difference",0,0.428571428571429,0.0475349953784645,0.0484495282738777,0.0620185928190626,-0.076555578173126,0.167802934678426,0.776,0.48875,0.1865
"Overall","overall","preparation","adoption_ratio","prevalence_ratio",0,0.428571428571429,1.19711992716362,1.16523714046373,0.25006795324521,0.797694423029793,1.7707482044105,0.776,0.614,0.152
"Overall","overall","preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,0.00328814160442006,0.00181315299080156,0.0468003695376235,-0.104106611070257,0.104175895830161,0.54525,0.13125,0.46975
"Overall","overall","preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,1.01982218090394,1.00554287185311,0.14442738271617,0.737555092142692,1.36830711374141,0.54525,0.213,0.41575
"Overall","overall","competition","prevalence_nonuser","prevalence",NA,0,0.348620116045103,0.346901726391661,0.0606111698732059,0.236945456353399,0.47029419551489,NA,NA,NA
"Overall","overall","competition","prevalence_median_user","prevalence",NA,0.5,0.419545138928706,0.420332706325778,0.0387763406386546,0.340457811288616,0.494689555892624,NA,NA,NA
"Overall","overall","competition","prevalence_low_user","prevalence",NA,0.363636363636364,0.369429131054737,0.371594145273484,0.0457056234896296,0.276368487990093,0.452693750730817,NA,NA,NA
"Overall","overall","competition","prevalence_high_user","prevalence",NA,0.714285714285714,0.506359535652401,0.504908681945552,0.0548221015797171,0.403764212533392,0.615441732376643,NA,NA,NA
"Overall","overall","competition","adoption_difference","prevalence_difference",0,0.5,0.0709250228836037,0.0709557188967383,0.071980762604122,-0.0744572447578315,0.206385161758296,0.8395,0.6185,0.12875
"Overall","overall","competition","adoption_ratio","prevalence_ratio",0,0.5,1.24223608980822,1.20544107499569,0.258189574490944,0.832896081931246,1.83702506996219,0.8395,0.684,0.1305
"Overall","overall","competition","dose_difference","prevalence_difference",0.363636363636364,0.714285714285714,0.136930404597664,0.135763877486471,0.0801775576008001,-0.00153191218786124,0.299998312855875,0.9675,0.844,0.07525
"Overall","overall","competition","dose_ratio","prevalence_ratio",0.363636363636364,0.714285714285714,1.39875353081188,1.36583184176821,0.274975250441775,0.996285871357438,2.03616835261472,0.9675,0.875,0.0775
