"group","group_type","period","estimand","measure","share_from","share_to","mean","median","sd","lower_95","upper_95","probability_above_null","probability_above_threshold","probability_in_rope"
"Under 20","age","preparation","prevalence_nonuser","prevalence",NA,0,0.24982153903791,0.246884442810051,0.04734369730066,0.165510647569267,0.351621557749611,NA,NA,NA
"Under 20","age","preparation","prevalence_median_user","prevalence",NA,0.428571428571429,0.293074913308232,0.290315299818073,0.037108280488006,0.224775024901592,0.371537257662729,NA,NA,NA
"Under 20","age","preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.282318898439989,0.280862080592902,0.0374223287165733,0.214057717384758,0.360787497487449,NA,NA,NA
"Under 20","age","preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.285322180623928,0.28374282628198,0.0376763247126458,0.212903708607714,0.367073449518538,NA,NA,NA
"Under 20","age","preparation","adoption_difference","prevalence_difference",0,0.428571428571429,0.043253374270322,0.0440222204445649,0.0567340361187506,-0.0704589599350571,0.153177267488218,0.776,0.4565,0.20475
"Under 20","age","preparation","adoption_ratio","prevalence_ratio",0,0.428571428571429,1.21379403418692,1.17609280088805,0.271730911107641,0.785918440215307,1.83885717679678,0.776,0.62375,0.14025
"Under 20","age","preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,0.00300328218393931,0.0016852668275896,0.0431699029011209,-0.0951385086672629,0.0941615298122652,0.54525,0.11525,0.49675
"Under 20","age","preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,1.02226853367622,1.00585241686573,0.155731728098775,0.713424207124273,1.39652922423067,0.54525,0.23,0.40075
"Under 23","age","preparation","prevalence_nonuser","prevalence",NA,0,0.296111906361386,0.294258819547401,0.0502919446080459,0.203279284424975,0.399077907501667,NA,NA,NA
"Under 23","age","preparation","prevalence_median_user","prevalence",NA,0.428571428571429,0.34474986500377,0.341965428972494,0.0376588907599856,0.275700599519714,0.426898687528986,NA,NA,NA
"Under 23","age","preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.33276398858492,0.331066995518249,0.0378529200997108,0.262001443392032,0.41285139254855,NA,NA,NA
"Under 23","age","preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.336140082953727,0.334161255414187,0.0391372372561916,0.263970589781578,0.41754560560683,NA,NA,NA
"Under 23","age","preparation","adoption_difference","prevalence_difference",0,0.428571428571429,0.0486379586423842,0.0493245443187253,0.0634532983081005,-0.0782116046491003,0.170838213463671,0.776,0.49675,0.183
"Under 23","age","preparation","adoption_ratio","prevalence_ratio",0,0.428571428571429,1.19987389183693,1.16685134916282,0.253771444061292,0.796195380714918,1.78070420691733,0.776,0.61475,0.15
"Under 23","age","preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,0.00337609436880717,0.0018686075481717,0.0478855698354321,-0.106755908361415,0.10555201805914,0.54525,0.13425,0.4635
"Under 23","age","preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,1.02009274673001,1.00557346018699,0.145999096024097,0.733338202626251,1.37189140606978,0.54525,0.215,0.41275
"Senior","age","preparation","prevalence_nonuser","prevalence",NA,0,0.351660934738338,0.350562440303111,0.0590478600266685,0.240860005113123,0.470619919438778,NA,NA,NA
"Senior","age","preparation","prevalence_median_user","prevalence",NA,0.428571428571429,0.404005198585047,0.401619881654019,0.0464558836704345,0.31981631599839,0.504125225045543,NA,NA,NA
"Senior","age","preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.391270103978028,0.390102005663599,0.0460062318579649,0.304753996489679,0.485883684497321,NA,NA,NA
"Senior","age","preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.394859221021342,0.392538158258213,0.0475834891882244,0.305257050323187,0.492920069545866,NA,NA,NA
"Senior","age","preparation","adoption_difference","prevalence_difference",0,0.428571428571429,0.0523442638467092,0.052407965765919,0.0679878415143563,-0.0815792443134117,0.185092439096979,0.776,0.51675,0.172
"Senior","age","preparation","adoption_ratio","prevalence_ratio",0,0.428571428571429,1.1785975674229,1.15025718579895,0.22675970981036,0.814558357945594,1.70131866864201,0.776,0.59525,0.1645
"Senior","age","preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,0.00358911704331386,0.00199150630489939,0.0507319482447021,-0.113115762173262,0.111973003000009,0.54525,0.1445,0.44625
"Senior","age","preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,1.01728908860318,1.00512937197774,0.131992594747817,0.755299510273409,1.33268577637438,0.54525,0.19725,0.44075
"Under 20","age","competition","prevalence_nonuser","prevalence",NA,0,0.296688900061632,0.294406302751539,0.0582335519582785,0.192574966661522,0.415346645592932,NA,NA,NA
"Under 20","age","competition","prevalence_median_user","prevalence",NA,0.5,0.362586152069621,0.363285373214107,0.0408720400738903,0.283872128779688,0.445400935381094,NA,NA,NA
"Under 20","age","competition","prevalence_low_user","prevalence",NA,0.363636363636364,0.315644212381898,0.316321705993333,0.0455031295792234,0.224774871744035,0.399194343720444,NA,NA,NA
"Under 20","age","competition","prevalence_high_user","prevalence",NA,0.714285714285714,0.446907585598026,0.445499658425777,0.0574366530922795,0.3429875327253,0.56442790305328,NA,NA,NA
"Under 20","age","competition","adoption_difference","prevalence_difference",0,0.5,0.0658972520079889,0.0662622515967433,0.0670154602969007,-0.0712540057203013,0.191747495956232,0.8395,0.59475,0.13875
"Under 20","age","competition","adoption_ratio","prevalence_ratio",0,0.5,1.26902725676869,1.22763039372558,0.287683626388061,0.822328635856897,1.94253902514477,0.8395,0.6995,0.117
"Under 20","age","competition","dose_difference","prevalence_difference",0.363636363636364,0.714285714285714,0.131263373216128,0.129947381491882,0.0771458511899995,-0.00146905519282089,0.288273016387913,0.9675,0.83775,0.079
"Under 20","age","competition","dose_ratio","prevalence_ratio",0.363636363636364,0.714285714285714,1.45149152572296,1.4119786626673,0.317757795112548,0.996077420665908,2.18515416990908,0.9675,0.8835,0.07325
"Under 23","age","competition","prevalence_nonuser","prevalence",NA,0,0.354004461310657,0.352313974515796,0.0621809956588145,0.23859414323161,0.48051616798219,NA,NA,NA
"Under 23","age","competition","prevalence_median_user","prevalence",NA,0.5,0.426737652800871,0.427664208660005,0.0407977170376106,0.342153955617037,0.506330706419341,NA,NA,NA
"Under 23","age","competition","prevalence_low_user","prevalence",NA,0.363636363636364,0.375361316023465,0.377525010853238,0.0477051932322604,0.277663630696009,0.46223642751367,NA,NA,NA
"Under 23","age","competition","prevalence_high_user","prevalence",NA,0.714285714285714,0.515415438777289,0.515007330312822,0.0564988641431642,0.411034547497853,0.627794954163079,NA,NA,NA
"Under 23","age","competition","adoption_difference","prevalence_difference",0,0.5,0.0727331914902143,0.0727714582203087,0.073803127296053,-0.0758016665728254,0.212712260015279,0.8395,0.6255,0.126
"Under 23","age","competition","adoption_ratio","prevalence_ratio",0,0.5,1.24484023246429,1.20770282574585,0.261208311303879,0.831020215183003,1.85079505794307,0.8395,0.68475,0.1285
"Under 23","age","competition","dose_difference","prevalence_difference",0.363636363636364,0.714285714285714,0.140054122753824,0.138841562209743,0.0819288204989935,-0.001566715223905,0.305713380174806,0.9675,0.84625,0.07475
"Under 23","age","competition","dose_ratio","prevalence_ratio",0.363636363636364,0.714285714285714,1.40210763091991,1.36775953399333,0.27819913479233,0.99625394489722,2.04471498318911,0.9675,0.87525,0.07725
"Senior","age","competition","prevalence_nonuser","prevalence",NA,0,0.417367360830747,0.416474188849165,0.070356728085225,0.283824490672976,0.553556039110009,NA,NA,NA
"Senior","age","competition","prevalence_median_user","prevalence",NA,0.5,0.493271263153163,0.49370204287253,0.0472803306193235,0.395682476198908,0.581477164625082,NA,NA,NA
