"section","characteristic","display","overall_sample","men_sample","women_sample","smd_sample_women_vs_men","overall_target_weighted","men_target_weighted","women_target_weighted","smd_weighted_women_vs_men","missing_n"
"Population","Athletes","N","352","194","158",NA,"1328","743","585",NA,0
"Demographics","Age, years","Mean (SD)","21.6 (3.1)","21.3 (3.1)","21.9 (3.1)",0.198,"21.1 (3.0)","20.9 (3.0)","21.3 (2.9)",0.137,0
"Demographics","Age group: Under 20","n (%)","114.0 (32.4%)","71.0 (36.6%)","43.0 (27.2%)",-0.202,"515.0 (38.8%)","311.0 (41.9%)","204.0 (34.9%)",-0.144,0
"Demographics","Age group: Under 23","n (%)","116.0 (33.0%)","63.0 (32.5%)","53.0 (33.5%)",0.023,"460.0 (34.6%)","248.0 (33.4%)","212.0 (36.2%)",0.06,0
"Demographics","Age group: Senior","n (%)","122.0 (34.7%)","60.0 (30.9%)","62.0 (39.2%)",0.175,"353.0 (26.6%)","184.0 (24.8%)","169.0 (28.9%)",0.093,0
"Anthropometrics","Height, cm","Mean (SD)","175.5 (8.5)","180.6 (5.9)","169.2 (6.8)",-1.809,"175.6 (8.5)","180.6 (5.8)","169.3 (7.0)",-1.749,0
"Anthropometrics","Weight, kg","Mean (SD)","64.8 (9.5)","70.5 (7.8)","57.8 (6.0)",-1.831,"64.8 (9.3)","70.3 (7.7)","57.7 (5.9)",-1.847,0
"Athletics","Athletics experience, years","Mean (SD)","10.5 (4.2)","10.1 (4.4)","11.0 (3.9)",0.225,"10.1 (4.1)","9.7 (4.3)","10.6 (3.7)",0.22,0
"Injury","Prior injury in previous two seasons","n (%)","267.0 (75.9%)","156.0 (80.4%)","111.0 (70.3%)",-0.237,"985.3 (74.2%)","587.1 (79.0%)","398.2 (68.1%)",-0.25,0
"Injury","Any current-season injury","n (%)","204.0 (58.0%)","120.0 (61.9%)","84.0 (53.2%)",-0.177,"756.2 (56.9%)","457.1 (61.5%)","299.2 (51.1%)",-0.21,0
"Injury","Preparation-period injury","n (%)","115.0 (32.7%)","69.0 (35.6%)","46.0 (29.1%)",-0.138,"419.5 (31.6%)","259.6 (34.9%)","159.9 (27.3%)",-0.165,0
"Injury","Competition-period injury","n (%)","149.0 (42.3%)","88.0 (45.4%)","61.0 (38.6%)",-0.137,"552.4 (41.6%)","331.4 (44.6%)","221.0 (37.8%)",-0.139,0
"Carbon exposure","Any preparation carbon use","n (%)","287.0 (81.5%)","159.0 (82.0%)","128.0 (81.0%)",-0.024,"1083.9 (81.6%)","611.6 (82.3%)","472.3 (80.7%)",-0.041,0
"Carbon exposure","Any competition carbon use","n (%)","308.0 (87.5%)","173.0 (89.2%)","135.0 (85.4%)",-0.112,"1162.6 (87.5%)","664.6 (89.4%)","498.0 (85.1%)",-0.13,0
"Carbon exposure","Preparation carbon share among users","Median [Q1, Q3]","0.4 [0.3, 0.6]","0.4 [0.2, 0.6]","0.4 [0.3, 0.6]",0.125,"0.4 [0.3, 0.6]","0.4 [0.2, 0.6]","0.4 [0.3, 0.6]",0.115,0
"Carbon exposure","Competition carbon share among users","Median [Q1, Q3]","0.5 [0.3, 0.7]","0.5 [0.3, 0.7]","0.5 [0.4, 0.8]",0.184,"0.5 [0.4, 0.7]","0.5 [0.3, 0.7]","0.5 [0.4, 0.7]",0.161,0
"Training frequency","Preparation total type-frequency","Median [Q1, Q3]","8.0 [6.0, 12.0]","8.0 [6.0, 11.0]","8.0 [6.0, 13.0]",0.098,"8.0 [6.0, 12.0]","8.0 [6.0, 12.0]","8.0 [6.0, 12.0]",0.069,0
"Training frequency","Competition total type-frequency","Median [Q1, Q3]","7.0 [5.0, 10.0]","7.0 [5.0, 10.0]","7.0 [5.0, 11.0]",0.121,"7.0 [5.0, 10.0]","7.0 [5.0, 10.0]","7.0 [6.0, 11.0]",0.106,0
