"age_group","year","sex","n"
"under20",2026,"uomini",311
"under20",2026,"donne",204
"under20",2025,"uomini",338
"under20",2025,"donne",274
"under20",2024,"uomini",361
"under20",2024,"donne",265
"under20",2023,"uomini",327
"under20",2023,"donne",235
"under23",2025,"uomini",252
"under23",2025,"donne",207
"under23",2024,"uomini",247
"under23",2024,"donne",211
"under23",2023,"uomini",244
"under23",2023,"donne",217
"assoluta",2025,"uomini",159
"assoluta",2025,"donne",156
"assoluta",2024,"uomini",199
"assoluta",2024,"donne",176
"assoluta",2023,"uomini",195
"assoluta",2023,"donne",176
